,itemId,title,galleryURL,viewItemURL,postalCode,condition,price_in_US,benchmade_bias,buck_bias,camillus_bias,crkt_bias,gerber_bias,kershaw_bias,schrade_bias,sog_bias,spyderco_bias,smith_wess_bias
0,255589310475,Used Benchmade 555 Pocket Knife,https://i.ebayimg.com/thumbs/images/g/5IsAAOSwxGVirmi1/s-l140.jpg,https://www.ebay.com/itm/Used-Benchmade-555-Pocket-Knife-/255589310475,770**,Used,101.79,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,195153822032,Benchmade 940-2 Osborne Reverse Tanto Blade Knife - Black,https://i.ebayimg.com/thumbs/images/g/w24AAOSwjgdisL5N/s-l140.jpg,https://www.ebay.com/itm/Benchmade-940-2-Osborne-Reverse-Tanto-Blade-Knife-Black-/195153822032,917**,Used,140.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,255595531100,Used Benchmade 533 Pocket Knife,https://i.ebayimg.com/thumbs/images/g/8SQAAOSwxilis3AM/s-l140.jpg,https://www.ebay.com/itm/Used-Benchmade-533-Pocket-Knife-/255595531100,770**,Used,69.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,304538451800,Benchmade Bugout 535GRY-1 Knife Ranger Green Scales Gray S30V Blade,https://i.ebayimg.com/thumbs/images/g/0nkAAOSwug1isr0u/s-l140.jpg,https://www.ebay.com/itm/Benchmade-Bugout-535GRY-1-Knife-Ranger-Green-Scales-Gray-S30V-Blade-/304538451800,787**,Used,99.95,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,255591168365,Used Benchmade 15031 Pocket Knife,https://i.ebayimg.com/thumbs/images/g/m7AAAOSwWCRir~Zm/s-l140.jpg,https://www.ebay.com/itm/Used-Benchmade-15031-Pocket-Knife-/255591168365,770**,Used,70.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,325239942666,Benchmade 970 / Emerson cqc 9 folding knife,https://i.ebayimg.com/thumbs/images/g/0eIAAOSwNB5is2qp/s-l140.jpg,https://www.ebay.com/itm/Benchmade-970-Emerson-cqc-9-folding-knife-/325239942666,906**,Used,44.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,225033300356,Benchmade Knives 886 Elishewitz Blue Star Discontinued / Titanium & G-10,https://i.ebayimg.com/thumbs/images/g/Wp8AAOSw5bNiq4m7/s-l140.jpg,https://www.ebay.com/itm/Benchmade-Knives-886-Elishewitz-Blue-Star-Discontinued-Titanium-G-10-/225033300356,984**,Used,78.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,255589185135,Used Benchmade Bugout 535 Knife Ranger Green Scales and Black S30V Blade,https://i.ebayimg.com/thumbs/images/g/QhAAAOSw8Btirk0W/s-l140.jpg,https://www.ebay.com/itm/Used-Benchmade-Bugout-535-Knife-Ranger-Green-Scales-and-Black-S30V-Blade-/255589185135,787**,Used,93.98,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,255585955302,Benchmade Mini Osborne 945BK-1 Knife Black Blade G10 Scales,https://i.ebayimg.com/thumbs/images/g/exwAAOSw8EJiq84-/s-l140.jpg,https://www.ebay.com/itm/Benchmade-Mini-Osborne-945BK-1-Knife-Black-Blade-G10-Scales-/255585955302,787**,Used,142.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,265745003534,Benchmade 551 Griptilian Folding Blade Pocket Knife~440c~Black Grips~Tight Blade,https://i.ebayimg.com/thumbs/images/g/1UsAAOSwfGhisBDY/s-l140.jpg,https://www.ebay.com/itm/Benchmade-551-Griptilian-Folding-Blade-Pocket-Knife-440c-Black-Grips-Tight-Blade-/265745003534,350**,Used,79.85,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,394121601131,1664  One Benchmade knife,https://i.ebayimg.com/thumbs/images/g/EPIAAOSwLbtirrfN/s-l140.jpg,https://www.ebay.com/itm/1664-One-Benchmade-knife-/394121601131,890**,Used,71.25,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,255595658454,Used Benchmade Bugout 535 Knife Black Scales and Silver S30V Blade,https://i.ebayimg.com/thumbs/images/g/WpsAAOSwMxlis7S7/s-l140.jpg,https://www.ebay.com/itm/Used-Benchmade-Bugout-535-Knife-Black-Scales-and-Silver-S30V-Blade-/255595658454,787**,Used,89.98,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,284864065877,Benchmade Pardue 531 G-10 Folding Pocket Knife AXIS Lock 154CM Steel,https://i.ebayimg.com/thumbs/images/g/CcMAAOSwsd5isLeE/s-l140.jpg,https://www.ebay.com/itm/Benchmade-Pardue-531-G-10-Folding-Pocket-Knife-AXIS-Lock-154CM-Steel-/284864065877,554**,Used,129.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,134152934221,Benchmade Nakamura 484 Folding Knife M390 Blade Steel,https://i.ebayimg.com/thumbs/images/g/ingAAOSwr4hisqjk/s-l140.jpg,https://www.ebay.com/itm/Benchmade-Nakamura-484-Folding-Knife-M390-Blade-Steel-/134152934221,786**,Used,174.99,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,394121579958,1621  One Benchmade pocket knife,https://i.ebayimg.com/thumbs/images/g/jLgAAOSwa9Jirq6t/s-l140.jpg,https://www.ebay.com/itm/1621-One-Benchmade-pocket-knife-/394121579958,890**,Used,57.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,354116426089,1620  One Benchmade pocket knife,https://i.ebayimg.com/thumbs/images/g/KmYAAOSw8S1irq5s/s-l140.jpg,https://www.ebay.com/itm/1620-One-Benchmade-pocket-knife-/354116426089,890**,Used,85.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,374144161594,#11 Benchmade 585 Mini Barrage Osborne 154CM Assisted Opening Axis-Lock Knife,https://i.ebayimg.com/thumbs/images/g/cowAAOSwMstisvkU/s-l140.jpg,https://www.ebay.com/itm/11-Benchmade-585-Mini-Barrage-Osborne-154CM-Assisted-Opening-Axis-Lock-Knife-/374144161594,033**,Used,71.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,144610321257,Benchmade 940 Osborne S30V Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/XVcAAOSwZZ5ir3nd/s-l140.jpg,https://www.ebay.com/itm/Benchmade-940-Osborne-S30V-Folding-Pocket-Knife-/144610321257,605**,Used,75.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
