Image,date_sold,title,avg_price,avg_shipping,converted_price,profit,ROI,brand,cost,target
https://thumbs.ebaystatic.com/pict/3246668658866464_1.jpg,"Apr 11, 2022",New NIB Spyderco Para 3 Lightweight Compression Lock Folding Knife C223PBBK,106.66,0.0,106.66,76.66,255.53333333333333,spyderco,30.0,1
https://i.ebayimg.com/00/s/MTA2NFgxNjAw/z/dNEAAOSw-zlhqjCF/$_12.JPG?set_id=880000500F,"Aug 20, 2022",NIB New Spyderco Para 3 Knife C223GPCMO Satin Plain Edge S45VN Blade Digi Camo,142.68,0.0,142.68,112.68,375.6,spyderco,30.0,1
https://thumbs.ebaystatic.com/pict/2245777070716464_1.jpg,"Jan 25, 2022",New NIB Spyderco Manix 2 Lightweight Translucent Blue FRCP Handles C101PBL2,93.99,0.0,93.99,63.99,213.3,spyderco,30.0,1
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/Q1QAAOSw~WViF7RT/$_12.JPG?set_id=880000500F,"Aug 8, 2022","NIB NEW Spyderco-LionSTEEL SpyOpera Knife 2.88"" M390 Blade Brown Micarta Handle",162.79,0.0,162.79,132.79,442.63333333333327,spyderco,30.0,1
https://thumbs.ebaystatic.com/pict/3247589463386464_1.jpg,"Feb 27, 2022",New NIB Spyderco Delica 4 Lockback Knife Zome Green FRN VG-10 C11ZFPGR Pocket,78.39,0.0,78.39,48.39,161.3,spyderco,30.0,0
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/w80AAOSw4lRg9cpE/$_1.JPG?set_id=880000500F,"Aug 5, 2022",Vtg Spyderco C05 Standard Seki City Japan AUS-6 Stainless Folding Pocket Knife,87.45,24.09,111.54,81.54,271.80000000000007,spyderco,30.0,1
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/K5YAAOSwCNJinWAW/$_12.JPG?set_id=880000500F,"Jun 29, 2022",Spyderco Para Military 2 Camo Folding Knife with CPM S30V Blade EUC free S/H,151.67,0.0,151.67,121.67,405.56666666666666,spyderco,30.0,1
https://i.ebayimg.com/00/s/OTIwWDE2MDA=/z/NpoAAOSwl5BiNMk0/$_12.JPG?set_id=880000500F,"Jun 14, 2022",New NIB Spyderco Ikuchi S30V Satin Plain Blade Carbon Fiber Handles CQI C242CFP,148.99,0.0,148.99,118.99,396.63333333333327,spyderco,30.0,1
https://thumbs.ebaystatic.com/pict/3249181581986464_1.jpg,"Jan 4, 2022",NIB New Spyderco Manix 2 G-10 Black / Black Blade Knife Plain Edge C101GPBBK2,139.99,0.0,139.99,109.99,366.6333333333334,spyderco,30.0,1
https://i.ebayimg.com/00/s/MTIwNlgxNjAw/z/5WsAAOSwCLBiNMWQ/$_12.JPG?set_id=880000500F,"Jun 5, 2022",New NIB Spyderco Native 5 Folding Knife SPY27 Stainless Blade Blue FRN Handle,129.99,0.0,129.99,99.99,333.3,spyderco,30.0,1
