itemId,title,galleryURL,viewItemURL,postalCode,price_in_US,sog
144610498975,SOG Flare Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/I3IAAOSwA5Fir7Jk/s-l140.jpg,https://www.ebay.com/itm/SOG-Flare-Folding-Pocket-Knife-/144610498975,605**,5.0,1.0
144610372183,SOG Kilowatt Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/rfUAAOSwhtlir4x6/s-l140.jpg,https://www.ebay.com/itm/SOG-Kilowatt-Folding-Pocket-Knife-/144610372183,605**,5.5,1.0
325238484618,Credit Card Companion Tool Logic W/ Compass/bottle Opener/Knife/magnifier/ruler,https://i.ebayimg.com/thumbs/images/g/li4AAOSwzLpikZbY/s-l140.jpg,https://www.ebay.com/itm/Credit-Card-Companion-Tool-Logic-W-Compass-bottle-Opener-Knife-magnifier-ruler-/325238484618,990**,6.0,1.0
255595493968,SOG ULTRA XR knife Opened but factory sharp! NICE!,https://i.ebayimg.com/thumbs/images/g/wEkAAOSwbPtis2lq/s-l140.jpg,https://www.ebay.com/itm/SOG-ULTRA-XR-knife-Opened-but-factory-sharp-NICE-/255595493968,971**,18.5,1.0
144610381127,SOG Flare Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/Q9IAAOSwxzFir5D3/s-l140.jpg,https://www.ebay.com/itm/SOG-Flare-Folding-Pocket-Knife-/144610381127,605**,5.0,1.0
144607326148,SOG Flash II Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/-3cAAOSwXGdinAdM/s-l140.jpg,https://www.ebay.com/itm/SOG-Flash-II-Folding-Pocket-Knife-/144607326148,605**,31.0,1.0
255591162431,Used SOG Trident Elite Pocket Knife,https://i.ebayimg.com/thumbs/images/g/QokAAOSw-6lir~N5/s-l140.jpg,https://www.ebay.com/itm/Used-SOG-Trident-Elite-Pocket-Knife-/255591162431,770**,15.0,1.0
203994815493,SOG Cash Card 8Cr13MoV Liner Lock Folding Pocket EDC Knife Money Clip,https://i.ebayimg.com/thumbs/images/g/6OYAAOSwvbZiqb0T/s-l140.jpg,https://www.ebay.com/itm/SOG-Cash-Card-8Cr13MoV-Liner-Lock-Folding-Pocket-EDC-Knife-Money-Clip-/203994815493,492**,24.95,1.0
354117861835,SOG Terminus XR Cryo D2 Folding Knife - Mint & Factory Sharp!,https://i.ebayimg.com/thumbs/images/g/KoQAAOSwsslir-AO/s-l140.jpg,https://www.ebay.com/itm/SOG-Terminus-XR-Cryo-D2-Folding-Knife-Mint-Factory-Sharp-/354117861835,760**,33.0,1.0
144610374505,SOG Trident Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/2lsAAOSwCY9ir42w/s-l140.jpg,https://www.ebay.com/itm/SOG-Trident-Folding-Pocket-Knife-/144610374505,605**,20.0,1.0
394121476770,SOG Trident Elite Assisted Open Knife Plain Edge Blade Arc Lock,https://i.ebayimg.com/thumbs/images/g/B7wAAOSwVB1iroQ~/s-l140.jpg,https://www.ebay.com/itm/SOG-Trident-Elite-Assisted-Open-Knife-Plain-Edge-Blade-Arc-Lock-/394121476770,327**,30.0,1.0
