Image,url,title,Field4,price,shipping,Data_field
https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/sP4AAOSwGkNjNEWS/$_32.JPG?set_id=880000500F,https://www.ebay.com/itm/403910594958?nordt=true&orig_cvip=true&rt=nc,"Spyderco Paramilitary 2 Folding Knife 3.42"" S30V Satin Plain Blade, Black G","Sep 29, 2022",$120.00,$8.00,403910594958
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/efsAAOSwgjhjLONK/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/374269419473?nordt=true&orig_cvip=true&rt=nc,"vintage Spyderco-USA folding knife Seki, Japan. Mint Cond. Collector’s Sheath","Sep 29, 2022",$406.00,$10.15,374269419473
https://i.ebayimg.com/00/s/NzY2WDE2MDA=/z/~ZUAAOSw4rJjNfbf/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/134256387905?nordt=true&orig_cvip=true&rt=nc,Spyderco Gin-1 Rare Stainless Seki-City Japan Folding Pocket Knife,"Sep 29, 2022",$65.00,$0.00,134256387905
https://i.ebayimg.com/00/s/NTc5WDE2MDA=/z/oLIAAOSwsn9iQiyp/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/234485334933?nordt=true&orig_cvip=true&rt=nc,vintage Spyderco Pride folding knife W/USA Flag Aus-6 Seki Japan Missing Insert,"Sep 29, 2022",$50.00,$5.10,234485334933
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ONMAAOSwRtFjM6OM/$_32.JPG?set_id=880000500F,https://www.ebay.com/itm/115542779977?nordt=true&orig_cvip=true&rt=nc,Purple Spyderco Ladybug VG-10 Lockback Knife Seki Japan ,"Sep 29, 2022",$33.00,$5.00,115542779977
https://i.ebayimg.com/00/s/OTYwWDEyODA=/z/Vm8AAOSwU9NjILDa/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/134245656846?nordt=true&orig_cvip=true&rt=nc,Spyderco SpyOpera Folding Knife #C255CMP In Original Box,"Sep 29, 2022",$136.29,$9.45,134245656846
https://i.ebayimg.com/00/s/OTYwWDEyODA=/z/aiIAAOSwe7NjEkR9/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144730579277?nordt=true&orig_cvip=true&rt=nc,Spyderco C167GP Filip De Leeuw Friction Folding Knife With Sheath In Box,"Sep 29, 2022",$99.00,$9.45,144730579277
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/8CoAAOSwBMBjLJLy/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/403900506116?nordt=true&orig_cvip=true&rt=nc,"Spyderco Salt 2 Folding Knife 3.0"" H-1 Steel Sheepfoot Blade Yellow FRN Handle ","Sep 29, 2022",$66.00,$5.20,403900506116
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/IRAAAOSwDI5jJ4cI/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/134248373251?nordt=true&orig_cvip=true&rt=nc,#211 Black Spyderco Endela Serrated Lockback VG-10 Knife Seki Japan ,"Sep 29, 2022",$47.01,$0.00,134248373251
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/xjMAAOSw1DpjNbG0/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/265909679157?nordt=true&orig_cvip=true&rt=nc,Spyderco Dragonfly 2 Knife ZDP189 Blade  Green FRN Handle Japan,"Sep 29, 2022",$89.00,$5.50,265909679157
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/75oAAOSw7RpjNQ0z/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/295244423780?nordt=true&orig_cvip=true&rt=nc,Spyderco Stovepipe C260TIP Folding Knife Cleaver Blade ,"Sep 29, 2022",$299.99,$0.00,295244423780
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/4zcAAOSwm79jLuqp/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/374271788443?nordt=true&orig_cvip=true&rt=nc,#297 Stainless Spyderco Ladybug VG-10 Lockback Knife Seki Japan ,"Sep 29, 2022",$46.00,$0.00,374271788443
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ZScAAOSwBSpjLuWn/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/134248080191?nordt=true&orig_cvip=true&rt=nc,#293 Black Spyderco Delica Serrated Lockback AUS-8 Knife Seki Japan ,"Sep 29, 2022",$44.50,$0.00,134248080191
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vwkAAOSwx89jMhfK/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/275476785053?nordt=true&orig_cvip=true&rt=nc,"Spyderco Ladybug 3 Folding Knife LBKS3 1.93"" Serrated Edge VG-10 Blade Black FRN","Sep 29, 2022",$32.00,$3.50,275476785053
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/LWcAAOSwAV5jNQzO/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/295244421910?nordt=true&orig_cvip=true&rt=nc,Spyderco Karahawk C170GBBK G-10 Folding Knife All Black,"Sep 29, 2022",$149.99,$0.00,295244421910
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/sHYAAOSwBpZjMLZ2/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/275475451042?nordt=true&orig_cvip=true&rt=nc,Spyderco Tenacious Black Folding Pocket Knife Black Combo Edge,"Sep 29, 2022",$30.00,$4.00,275475451042
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/stAAAOSwXNtjMeFy/$_57.JPG?set_id=880000500F,,,"Sep 29, 2022",$125.00,$5.50,
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/NIgAAOSwg-tjNE7T/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/284983566170?nordt=true&orig_cvip=true&rt=nc,Spyderco Squeak C154PBK N690Co Blade - Pocket Knife #73,"Sep 28, 2022",$39.00,$3.00,284983566170
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ZBIAAOSwtM5jNQ1i/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/374280081818?nordt=true&orig_cvip=true&rt=nc,Spyderco Karahawk C170GBBK G-10 Folding Knife All Black,"Sep 28, 2022",$149.99,$0.00,374280081818
https://i.ebayimg.com/00/s/Mjk1WDE1OTk=/z/pt8AAOSwAExjILMu/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/255713212951?nordt=true&orig_cvip=true&rt=nc,Spyderco C194CFTIP Myrtle Marbled Carbon Fiber CPM-s30v Pocket Knife  #31,"Sep 28, 2022",$180.50,$7.09,255713212951
https://i.ebayimg.com/00/s/NDEzWDE2MDA=/z/67QAAOSw1bljIPUc/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/255713222337?nordt=true&orig_cvip=true&rt=nc,Spyderco C85GP2 Scaled Yojimbo 2 S30V - Michael Janich Pocket Knife w/ Box #48,"Sep 28, 2022",$147.00,$9.75,255713222337
https://i.ebayimg.com/00/s/NTcyWDE2MDA=/z/dP0AAOSwOqNjIN5i/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/255716402248?nordt=true&orig_cvip=true&rt=nc,Spyderco Squeak Titanium C154TIP Elmax Blade - Pocket Knife #66,"Sep 28, 2022",$129.50,$9.75,255716402248
https://i.ebayimg.com/00/s/Mjg2WDE1OTk=/z/lccAAOSwgDZjIOdc/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/255713393874?nordt=true&orig_cvip=true&rt=nc,Spyderco Gayle Bradley 2 C134CFP2 CPM-M4 Blade - Pocket Knife #40,"Sep 28, 2022",$132.50,$9.75,255713393874
https://i.ebayimg.com/00/s/Mzg3WDE1OTk=/z/gP8AAOSw41xjIPi7/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/255713403499?nordt=true&orig_cvip=true&rt=nc,"Spyderco Efficient Pin, 3.00 8Cr13MoV Blade - Pocket Knife & Box #49","Sep 28, 2022",$26.00,$9.75,255713403499
https://i.ebayimg.com/00/s/NDYyWDE2MDA=/z/sIgAAOSw2BdjIN6z/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/255716816798?nordt=true&orig_cvip=true&rt=nc,Spyderco Cat G-10 Pin C129GP BD-1 Blade - Pocket Knife #67,"Sep 28, 2022",$36.00,$9.75,255716816798
