itemId,title,galleryURL,viewItemURL,postalCode,location,country,shippingInfo,sellingStatus,listingInfo,returnsAccepted,condition,price_in_US,sog_cost
144610498975,SOG Flare Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/I3IAAOSwA5Fir7Jk/s-l140.jpg,https://www.ebay.com/itm/SOG-Flare-Folding-Pocket-Knife-/144610498975,605**,"Darien,IL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '5.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '5.0'}, 'bidCount': '1', 'sellingState': 'Active', 'timeLeft': 'P3DT10H31M42S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T03:36:01.000Z', 'endTime': '2022-06-27T03:36:01.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '12'}",True,Used,5.0,32.95
144610372183,SOG Kilowatt Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/rfUAAOSwhtlir4x6/s-l140.jpg,https://www.ebay.com/itm/SOG-Kilowatt-Folding-Pocket-Knife-/144610372183,605**,"Darien,IL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '5.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '5.5'}, 'bidCount': '2', 'sellingState': 'Active', 'timeLeft': 'P3DT10H49M57S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T03:54:16.000Z', 'endTime': '2022-06-27T03:54:16.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '7'}",True,Used,5.5,32.95
325238484618,Credit Card Companion Tool Logic W/ Compass/bottle Opener/Knife/magnifier/ruler,https://i.ebayimg.com/thumbs/images/g/li4AAOSwzLpikZbY/s-l140.jpg,https://www.ebay.com/itm/Credit-Card-Companion-Tool-Logic-W-Compass-bottle-Opener-Knife-magnifier-ruler-/325238484618,990**,"Medical Lake,WA,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'FreePickup', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '3'}","{'currentPrice': {'@currencyId': 'USD', '#text': '6.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '6.0'}, 'sellingState': 'Active', 'timeLeft': 'P28DT2H3M40S'}","{'bestOfferEnabled': 'true', 'buyItNowAvailable': 'false', 'startTime': '2022-06-21T19:07:59.000Z', 'endTime': '2022-07-21T19:07:59.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '1'}",False,Used,6.0,32.95
255595493968,SOG ULTRA XR knife Opened but factory sharp! NICE!,https://i.ebayimg.com/thumbs/images/g/wEkAAOSwbPtis2lq/s-l140.jpg,https://www.ebay.com/itm/SOG-ULTRA-XR-knife-Opened-but-factory-sharp-NICE-/255595493968,971**,"Sherwood,OR,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '7.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '3'}","{'currentPrice': {'@currencyId': 'USD', '#text': '18.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '18.5'}, 'bidCount': '3', 'sellingState': 'Active', 'timeLeft': 'P2DT5H5M42S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-22T22:10:01.000Z', 'endTime': '2022-06-25T22:10:01.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '19'}",False,Used,18.5,32.95
144610381127,SOG Flare Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/Q9IAAOSwxzFir5D3/s-l140.jpg,https://www.ebay.com/itm/SOG-Flare-Folding-Pocket-Knife-/144610381127,605**,"Darien,IL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '5.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '5.0'}, 'bidCount': '0', 'sellingState': 'Active', 'timeLeft': 'P3DT10H29M26S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T03:33:45.000Z', 'endTime': '2022-06-27T03:33:45.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '6'}",True,Used,5.0,32.95
144607326148,SOG Flash II Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/-3cAAOSwXGdinAdM/s-l140.jpg,https://www.ebay.com/itm/SOG-Flash-II-Folding-Pocket-Knife-/144607326148,605**,"Darien,IL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '31.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '31.0'}, 'bidCount': '4', 'sellingState': 'Active', 'timeLeft': 'P3DT7H56M5S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T01:00:24.000Z', 'endTime': '2022-06-27T01:00:24.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '6'}",True,Used,31.0,32.95
255591162431,Used SOG Trident Elite Pocket Knife,https://i.ebayimg.com/thumbs/images/g/QokAAOSw-6lir~N5/s-l140.jpg,https://www.ebay.com/itm/Used-SOG-Trident-Elite-Pocket-Knife-/255591162431,770**,"Houston,TX,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '15.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '15.0'}, 'bidCount': '11', 'sellingState': 'Active', 'timeLeft': 'P1DT11H8M54S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T04:13:13.000Z', 'endTime': '2022-06-25T04:13:13.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '9'}",True,Used,15.0,32.95
203994815493,SOG Cash Card 8Cr13MoV Liner Lock Folding Pocket EDC Knife Money Clip,https://i.ebayimg.com/thumbs/images/g/6OYAAOSwvbZiqb0T/s-l140.jpg,https://www.ebay.com/itm/SOG-Cash-Card-8Cr13MoV-Liner-Lock-Folding-Pocket-EDC-Knife-Money-Clip-/203994815493,492**,"Jackson,MI,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'Free', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '24.95'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '24.95'}, 'sellingState': 'Active', 'timeLeft': 'P21DT18H2M18S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-15T11:06:37.000Z', 'endTime': '2022-07-15T11:06:37.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '8'}",True,Used,24.95,32.95
354117861835,SOG Terminus XR Cryo D2 Folding Knife - Mint & Factory Sharp!,https://i.ebayimg.com/thumbs/images/g/KoQAAOSwsslir-AO/s-l140.jpg,https://www.ebay.com/itm/SOG-Terminus-XR-Cryo-D2-Folding-Knife-Mint-Factory-Sharp-/354117861835,760**,"Arlington,TX,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '6.95'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'true', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '33.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '33.0'}, 'bidCount': '19', 'sellingState': 'Active', 'timeLeft': 'P1DT9H58M56S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T03:03:15.000Z', 'endTime': '2022-06-25T03:03:15.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '18'}",True,Used,33.0,32.95
144610374505,SOG Trident Folding Pocket Knife,https://i.ebayimg.com/thumbs/images/g/2lsAAOSwCY9ir42w/s-l140.jpg,https://www.ebay.com/itm/SOG-Trident-Folding-Pocket-Knife-/144610374505,605**,"Darien,IL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '20.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '20.0'}, 'bidCount': '14', 'sellingState': 'Active', 'timeLeft': 'P3DT10H40M43S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T03:45:02.000Z', 'endTime': '2022-06-27T03:45:02.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '7'}",True,Used,20.0,32.95
