Image,Field2,title,avg_price,avg_shipping,converted_price,profit,ROI,brand,cost
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/d9UAAOSw8Bphw6ag/$_1.JPG?set_id=880000500F,"Jun 30, 2022",Vintage SOG M33 Seki Japan Mini Gentleman Stainless Steel Folding Pocket Knife,37.91,30.17,68.08,53.08,353.8666666666666,sog,15.0
https://thumbs.ebaystatic.com/pict/2333601100876464_1.jpg,"Mar 5, 2022",SOG Key Small Keychain Folding Pocket Knife (Various),8.57,0.0,8.57,-6.43,-42.86666666666667,sog,15.0
https://thumbs.ebaystatic.com/pict/1549712511946464_1.jpg,"Jun 1, 2022",SOG Terminus Slip Joint Knife Tan G-10 BD1 Stainless Pocket Knives,22.8,4.25,27.05,12.05,80.33333333333333,sog,15.0
https://thumbs.ebaystatic.com/pict/2035884546416464_1.jpg,"Oct 24, 2021",5” Black SOG Micron II (2) Folding Pocket Knife Clip Pt OR Tanto,10.73,0.0,10.73,-4.27,-28.46666666666666,sog,15.0
https://i.ebayimg.com/00/s/MTA1OVgxNjAw/z/KiQAAOSwMtxih~p8/$_57.PNG?set_id=8800005007,"Aug 5, 2022",Group A Choice of Knife Sog Key - Korean 3 Blade Keychain Knife,5.23,0.0,5.23,-9.77,-65.13333333333333,sog,15.0
https://thumbs.ebaystatic.com/pict/3736703622606464_1.jpg,"Dec 9, 2021",SOG Twitch II 2 Gray Assisted Opening Lockback Pocket Folding Knife S1,26.07,0.0,26.07,11.07,73.8,sog,15.0
https://i.ebayimg.com/00/s/ODMyWDEyNzQ=/z/jYsAAOSwbuZibD1d/$_57.JPG?set_id=8800005007,"Jun 27, 2022",SOG Terminus Slip Joint Knife Black G-10 BD1 Stainless Pocket Knives,22.46,4.52,26.98,11.98,79.86666666666667,sog,15.0
https://i.ebayimg.com/00/s/NjgzWDYwMw==/z/O-MAAOSwX7Fig8Rq/$_57.JPG?set_id=8800005007,"Jun 19, 2022","NEW SOG Cash Card - Money Clip Knife 2.75"" Stainless Steel",25.0,4.9,29.9,14.9,99.33333333333331,sog,15.0
https://thumbs.ebaystatic.com/pict/3934307318596464_1.jpg,"Mar 23, 2022",SOG Micron II QAD Pocket Keychain Knife Lockback Plain Edge Blade ,14.86,0.0,14.86,-0.14000000000000054,-0.933333333333337,sog,15.0
https://i.ebayimg.com/00/s/MTA1OVgxNjAw/z/0m8AAOSwNkNieAdy/$_57.JPG?set_id=8800005007,"Jun 21, 2022",Choice Silver Black Gold SOG Taiwan Keychain Keyring Knife,5.55,0.0,5.55,-9.45,-63.0,sog,15.0
https://thumbs.ebaystatic.com/pict/3736703824946464_1.jpg,"Nov 18, 2021",SOG Twitch II 2 Wood Assisted Opening Lockback Pocket Folding Knife S3,27.87,0.0,27.87,12.87,85.80000000000003,sog,15.0
https://thumbs.ebaystatic.com/pict/1852644876786464_1.jpg,"Mar 8, 2022",SOG Flash AT Assisted Folding Pocket Knife,60.0,0.0,60.0,45.0,300.0,sog,15.0
https://thumbs.ebaystatic.com/pict/3935394609836464_1.jpg,"Dec 21, 2021",Lot of 2 SOG Knives Micron II & Key Style Pocket Keychain Knife Lockback ,17.8,0.0,17.8,2.8000000000000007,18.66666666666667,sog,15.0
