itemId,title,galleryURL,viewItemURL,postalCode,price_in_US,shipping_cost,converted_price,benchmade,buck,case,crkt,kershaw,leatherman,spyderco,victorinox,Binary_Target,profit,ROI
113729888404,kershaw misdirect gray assisted open framelock folding pocket knife 1365,https://i.ebayimg.com/thumbs/images/g/zCgAAOSwdeFiYbn9/s-l140.jpg,https://www.ebay.com/itm/Kershaw-Misdirect-Gray-Assisted-Open-Framelock-Folding-Pocket-Knife-1365-/113729888404,242**,26.84,0.0,26.84,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,3.84,78.93333333333334
175006871402,"kershaw kuro linerlock folding knife 3.1"" 8cr13mov steel tanto blade gfn handle",https://i.ebayimg.com/thumbs/images/g/2o4AAOSwsAth-U4S/s-l140.jpg,https://www.ebay.com/itm/Kershaw-Kuro-Linerlock-Folding-Knife-3-1-8Cr13MoV-Steel-Tanto-Blade-GFN-Handle-/175006871402,243**,24.99,0.0,24.99,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,1.9899999999999984,66.6
125406365289,benchmade 556 mini griptilian folding pocket knife 154cm green handle ~~badass~~,https://i.ebayimg.com/thumbs/images/g/oLQAAOSwXjJhoo0k/s-l140.jpg,https://www.ebay.com/itm/Benchmade-556-Mini-Griptilian-Folding-Pocket-Knife-154CM-Green-Handle-BADASS-/125406365289,325**,89.99,0.0,89.99,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,36.989999999999995,99.97777777777776
283684293533,1660 kershaw leek knife silver plain blade new flag logo blem assisted opener,https://i.ebayimg.com/thumbs/images/g/VQ0AAOSwOithccco/s-l140.jpg,https://www.ebay.com/itm/1660-Kershaw-Leek-Knife-silver-plain-Blade-New-Flag-Logo-Blem-assisted-opener-/283684293533,982**,39.95,0.0,39.95,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,16.950000000000003,166.33333333333334
175305272641,"kershaw folding knife 2.60"" 8cr13mov steel karambit blade glass-filled nylon",https://i.ebayimg.com/thumbs/images/g/pDEAAOSwzttiqQKY/s-l140.jpg,https://www.ebay.com/itm/Kershaw-Folding-Knife-2-60-8Cr13Mov-Steel-Karambit-Blade-Glass-Filled-Nylon-/175305272641,243**,43.99,0.0,43.99,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,20.990000000000002,193.26666666666668
175009777215,"kershaw linerlock assisted folding knife 3"" stainless blade black handle 1354",https://i.ebayimg.com/thumbs/images/g/l8sAAOSws1piBtsQ/s-l140.jpg,https://www.ebay.com/itm/Kershaw-Linerlock-Assisted-Folding-Knife-3-Stainless-Blade-Black-Handle-1354-/175009777215,243**,20.39,0.0,20.39,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,-2.6099999999999994,35.93333333333334
174677739737,"kershaw link folding knife 3.25"" cpm-20cv steel blade olive aluminum handle",https://i.ebayimg.com/thumbs/images/g/ryEAAOSwsNRg1ieS/s-l140.jpg,https://www.ebay.com/itm/Kershaw-Link-Folding-Knife-3-25-CPM-20CV-Steel-Blade-Olive-Aluminum-Handle-/174677739737,243**,83.99,0.0,83.99,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,True,60.989999999999995,459.9333333333333
265088221655,"kershaw ""discontinued"" - passage spring assist flipper knife 3.5"" blade kai 1361",https://i.ebayimg.com/thumbs/images/g/w1EAAOSw~xRgTkm5/s-l140.jpg,https://www.ebay.com/itm/KERSHAW-Discontinued-PASSAGE-Spring-Assist-Flipper-knife-3-5-blade-kai-1361-/265088221655,783**,29.95,0.0,29.95,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,6.949999999999999,99.66666666666666
251512182080,kershaw - oso sweet spring assisted speedsafe opening knife - ao edc  ks 1830,https://i.ebayimg.com/thumbs/images/g/6KMAAMXQLk1REgns/s-l140.jpg,https://www.ebay.com/itm/KERSHAW-OSO-SWEET-Spring-Assisted-SPEEDSAFE-opening-Knife-AO-edc-KS-1830-/251512182080,783**,24.95,0.0,24.95,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,1.9499999999999993,66.33333333333333
224802002610,kershaw parsec 2035 folding stainless steel drop point blade pocket knife,https://i.ebayimg.com/thumbs/images/g/iRcAAOSwkvBh6xDj/s-l140.jpg,https://www.ebay.com/itm/Kershaw-Parsec-2035-Folding-Stainless-Steel-Drop-Point-Blade-Pocket-Knife-/224802002610,331**,24.95,0.0,24.95,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,False,1.9499999999999993,66.33333333333333
